CustomerID;Count;Country;State;City;Zip Code;Lat Long;Latitude;Longitude;Gender;Senior Citizen;Partner;Dependents;Tenure Months;Phone Service;Multiple Lines;Internet Service;Online Security;Online Backup;Device Protection;Tech Support;Streaming TV;Streaming Movies;Contract;Paperless Billing;Payment Method;Monthly Charges;Total Charges;Churn Label;Churn Value;Churn Score;CLTV;Churn Reason
3668-QPYBK;1;United States;California;Los Angeles;90003;33.964131, -118.272783;33,964131;-118,272783;Male;No;No;No;2;Yes;No;DSL;Yes;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;59,235;118,965;Yes;1;86;3239;Competitor made better offer
9237-HQITU;1;United States;California;Los Angeles;90005;34.059281, -118.30742;34,059281;-118,30742;Female;No;No;Yes;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;77,77;166,815;Yes;1;67;2701;Moved
9305-CDSKC;1;United States;California;Los Angeles;90006;34.048013, -118.293953;34,048013;-118,293953;Female;No;No;Yes;8;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;109,615;902,55;Yes;1;86;5372;Moved
7892-POOKP;1;United States;California;Los Angeles;90010;34.062125, -118.315709;34,062125;-118,315709;Female;No;Yes;Yes;28;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;115,28;3350,655;Yes;1;84;5003;Moved
0280-XJGEX;1;United States;California;Los Angeles;90015;34.039224, -118.266293;34,039224;-118,266293;Male;No;No;Yes;49;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);114,07;5539,93;Yes;1;89;5340;Competitor had better devices
4190-MFLUW;1;United States;California;Los Angeles;90020;34.066367, -118.309868;34,066367;-118,309868;Female;No;Yes;No;10;Yes;No;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Credit card (automatic);60,72;581,185;Yes;1;78;5925;Competitor offered higher download speeds
8779-QRDMV;1;United States;California;Los Angeles;90022;34.02381, -118.156582;34,02381;-118,156582;Male;Yes;No;No;1;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;43,615;43,615;Yes;1;100;5433;Competitor offered more data
1066-JKSGK;1;United States;California;Los Angeles;90024;34.066303, -118.435479;34,066303;-118,435479;Male;No;No;No;1;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;22,165;22,165;Yes;1;92;4832;Competitor made better offer
6467-CHFZW;1;United States;California;Los Angeles;90028;34.099869, -118.326843;34,099869;-118,326843;Male;No;Yes;Yes;47;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;109,285;5224,065;Yes;1;77;5789;Competitor had better devices
8665-UTDHZ;1;United States;California;Los Angeles;90029;34.089953, -118.294824;34,089953;-118,294824;Male;No;Yes;No;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Electronic check;33,22;33,22;Yes;1;97;2915;Competitor had better devices
8773-HHUOZ;1;United States;California;Los Angeles;90032;34.078821, -118.177576;34,078821;-118,177576;Female;No;No;No;17;Yes;No;DSL;No;No;No;No;Yes;Yes;Month-to-month;Yes;Mailed check;71,17;1202,41;Yes;1;74;3022;Competitor offered higher download speeds
6047-YHPVI;1;United States;California;Los Angeles;90039;34.110845, -118.259595;34,110845;-118,259595;Male;No;No;Yes;5;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;76,67;348,59;Yes;1;66;2454;Competitor offered higher download speeds
5380-WJKOV;1;United States;California;Los Angeles;90041;34.137412, -118.207607;34,137412;-118,207607;Male;No;No;Yes;34;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;116,985;3904,175;Yes;1;65;2941;Competitor offered higher download speeds
8168-UQWWF;1;United States;California;Los Angeles;90042;34.11572, -118.192754;34,11572;-118,192754;Female;No;No;Yes;11;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);107,635;1215,94;Yes;1;70;5674;Competitor offered more data
7760-OYPDY;1;United States;California;Los Angeles;90056;33.987945, -118.370442;33,987945;-118,370442;Female;No;No;Yes;2;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;88,715;158,565;Yes;1;90;5586;Competitor offered more data
9420-LOJKX;1;United States;California;Los Angeles;90061;33.92128, -118.274186;33,92128;-118,274186;Female;No;No;Yes;15;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);109,01;1569,04;Yes;1;82;2966;Competitor offered more data
7495-OOKFY;1;United States;California;Los Angeles;90063;34.044271, -118.185237;34,044271;-118,185237;Female;Yes;Yes;Yes;8;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic);88,715;696,63;Yes;1;69;5302;Competitor made better offer
1658-BYGOY;1;United States;California;Los Angeles;90065;34.108833, -118.229715;34,108833;-118,229715;Male;Yes;No;Yes;18;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;104,995;1927,805;Yes;1;81;3179;Competitor made better offer
5698-BQJOH;1;United States;California;Beverly Hills;90211;34.063947, -118.383001;34,063947;-118,383001;Female;No;No;Yes;9;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;103,84;942,975;Yes;1;96;5571;Price too high
5919-TMRGD;1;United States;California;Huntington Park;90255;33.97803, -118.217141;33,97803;-118,217141;Female;No;No;Yes;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;87,285;87,285;Yes;1;87;2483;Product dissatisfaction
9191-MYQKX;1;United States;California;Lynwood;90262;33.923573, -118.200669;33,923573;-118,200669;Female;No;Yes;Yes;7;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);82,665;546,59;Yes;1;70;3457;Service dissatisfaction
8637-XJIVR;1;United States;California;Marina Del Rey;90292;33.977468, -118.445475;33,977468;-118,445475;Female;No;No;Yes;12;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;86,845;1020,085;Yes;1;86;5806;Lack of self-service on Website
